Term,Original Definition,Published Definition,Publish to DevHub,Keywords,Context,Team Source - Temp,Citations,Verified Definition,Comments,StaticId,Name
Authentication Type,"Method used to verify the identity of a user or system, such as passwords, tokens, OAuth, API keys, or multi-factor authentication patterns.","Method used to verify the identity of a user or system, such as passwords, tokens, OAuth, API keys, or multi-factor authentication patterns.",Yes,Security,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,,9183d44e-880a-4160-b801-707917861775,authentication-type
API Specifications,"Formal documents or definitions (like OpenAPI/Swagger) that describe how an API works, including endpoints, inputs, outputs, authentication, and data formats. An example is an OpenAPI Specification is (OAS). ","Formal documents or definitions (like OpenAPI/Swagger) that describe how an API works, including endpoints, inputs, outputs, authentication, and data formats. An example is an OpenAPI Specification is (OAS). ",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,,d793bc6a-8606-46e2-be47-0cede37059e9,api-specifications
Metadata,"Metadata is a set of structured data that describes and gives additional detail about a Dataset. Metadata helps identify, manage, and share Datasets.","Metadata is a set of structured data that describes and gives additional detail about a Dataset. Metadata helps identify, manage, and share Datasets.",Yes,,General,Catalogue,https://www2.gov.bc.ca/gov/content/data/policy-standards/data-standards-and-guidelines/core-metadata-standard,Yes,,8983389a-7650-412b-bfde-524994c37b28,metadata
Open Government Licence,"“Open Government License” means the Open Government License for government of B.C. Information or such other license approved by the Intellectual Property Program, Ministry of Labour, Citizens’ Services and Open Government.","The standardized licence used by the B.C. Government to let users freely copy, modify, distribute, and commercially reuse specific government-held data.",Yes,,General,Catalogue,https://www2.gov.bc.ca/gov/content/data/policy-standards/data-policies/open-data,No,Drafted a definition.,8dc5e79b-287e-4950-b269-821836f38592,open-government-licence
SDX Pattern,"A documented architecture pattern describing a repeatable, secure method of exchanging data.",,No,SDX,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,No,,082d55c9-67d0-49af-af36-8195582643db,sdx-pattern
Data Exchange,"A governed, repeatable transfer of data from a provider to a consumer under an approved legal basis.","A governed, repeatable transfer of data from a provider to a consumer under an approved legal basis.",Yes,SDX,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,,722582cb-b494-4b1b-b8c2-3944edd1a5ed,data-exchange
Delegated Intermediary,"A platform component that acts on behalf of a provider or consumer, such as a gateway or proxy.","A platform component that acts on behalf of a provider or consumer, such as a gateway or proxy.",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,,7fcb693a-da83-477c-9b15-194010c27ce7,delegated-intermediary
Authorizing Authority,"The entity that confirms legal basis, consent, or program authority for an exchange.","The entity that confirms legal basis, consent, or program authority for an exchange.",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,,831d3232-aaa5-4986-b522-4539b0811355,authorizing-authority
Program Authority,The ministry or program that has the lawful basis to initiate or approve an exchange.,The ministry or program that has the lawful basis to initiate or approve an exchange.,Yes,SDX,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,,4d464b52-a0fa-473b-8461-662e6004b0db,program-authority
Trust Authority,"The governing body (Connected Services B.C.) that manages trust anchors, certificates, and federation governance.","The governing body (Connected Services B.C.) that manages trust anchors, certificates, and federation governance.",Yes,"Security,SDX",General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,,ef2e4ea5-3c0c-482b-b325-a2c0c96e91f9,trust-authority
Data Sharing Agreement (DSA),"The Data Sharing Agreement (DSA) is a legal agreement defining the lawful basis, permitted use, retention, and custodianship for an exchange.","The Data Sharing Agreement (DSA) is a legal agreement defining the lawful basis, permitted use, retention, and custodianship for an exchange.",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,,7561a095-77d2-4aec-9b90-cc4cf3932305,data-sharing-agreement-dsa
Credential,A verifiable claim about an actor or system used for authentication or authorization.,A verifiable claim about an actor or system used for authentication or authorization.,Yes,"Security,SDX",General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,,9afa0105-8a65-4d83-8826-5d58bb5c5f8e,credential
